@relation Results

@attribute Area numeric
@attribute X numeric
@attribute Y numeric
@attribute XM numeric
@attribute YM numeric
@attribute Major numeric
@attribute Minor numeric
@attribute Angle numeric
@attribute Circ numeric
@attribute IntDen numeric
@attribute RawIntDen numeric
@attribute Slice numeric
@attribute AR numeric
@attribute Round numeric
@attribute Solidity numeric
@attribute especie {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}

@data
64656,159323,120229,159323,120229,334477,246123,179747,065,16487280,16487280,129,1359,0736,0842,4
65736,159545,120767,159545,120767,33754,247964,0126,0661,16762680,16762680,130,1361,0735,0856,4
63588,160843,120817,160843,120817,332537,24347,014,064,16214940,16214940,131,1366,0732,0828,4
66532,158835,120399,158835,120399,339986,249161,179978,0669,16965660,16965660,132,1365,0733,0866,4
64142,160838,120721,160838,120721,332097,245917,179693,0645,16356210,16356210,133,135,074,0835,4
65738,160953,120565,160953,120565,338056,247593,0454,0661,16763190,16763190,134,1365,0732,0856,4
63073,158886,119833,158886,119833,32908,244035,0423,0635,16083615,16083615,135,1348,0742,0821,4
66281,161271,119709,161271,119709,33864,249207,179976,0667,16901655,16901655,136,1359,0736,0863,4
66334,162491,120825,162491,120825,339305,248918,0515,0667,16915170,16915170,137,1363,0734,0864,4
66644,160159,119899,160159,119899,339976,249587,179901,067,16994220,16994220,138,1362,0734,0868,4
64510,162492,121863,162492,121863,334059,245875,0482,0649,16450050,16450050,139,1359,0736,084,4
63981,159839,120391,159839,120391,332757,244813,0228,0644,16315155,16315155,140,1359,0736,0833,4
64961,158503,120408,158503,120408,336772,245599,179222,0654,16565055,16565055,141,1371,0729,0846,4
65796,159491,122283,159491,122283,337465,248246,0577,0662,16777980,16777980,142,1359,0736,0857,4
64543,159051,12042,159051,12042,333428,246466,179827,0649,16458465,16458465,143,1353,0739,084,4
65752,159818,121166,159818,121166,338415,247383,0267,0661,16766760,16766760,144,1368,0731,0856,4
66432,160559,120001,160559,120001,338919,24957,179838,0668,16940160,16940160,145,1358,0736,0865,4
63293,159819,119877,159819,119877,329761,24438,179876,0637,16139715,16139715,146,1349,0741,0824,4
64168,160372,121744,160372,121744,333601,244907,0225,0646,16362840,16362840,147,1362,0734,0836,4
65806,159897,121017,159897,121017,338662,247406,179533,0662,16780530,16780530,148,1369,0731,0857,4
65503,160694,120482,160694,120482,336882,247567,0267,0659,16703265,16703265,149,1361,0735,0853,4
67248,158838,121061,158838,121061,34117,250968,0038,0677,17148240,17148240,150,1359,0736,0876,4
68807,160961,120657,160961,120657,344115,254589,0165,0692,17545785,17545785,151,1352,074,0896,4
65615,161743,120919,161743,120919,336182,248507,0348,066,16731825,16731825,152,1353,0739,0854,4
68728,161422,121081,161422,121081,342897,255199,019,0691,17525640,17525640,153,1344,0744,0895,4
69701,160885,121221,160885,121221,346069,256441,0141,0701,17773755,17773755,154,135,0741,0908,4
64680,161261,121122,161261,121122,335535,245438,026,0651,16493400,16493400,155,1367,0731,0842,4
64402,160352,12112,160352,12112,334699,244994,179532,0648,16422510,16422510,156,1366,0732,0839,4
64917,1583,120897,1583,120897,335724,246199,179754,0653,16553835,16553835,157,1364,0733,0845,4
66712,158442,120526,158442,120526,339686,250056,179657,0671,17011560,17011560,158,1358,0736,0869,4
64872,157931,120726,157931,120726,333567,247619,17993,0653,16542360,16542360,159,1347,0742,0845,4
66751,163002,121912,163002,121912,33851,251071,0724,0672,17021505,17021505,160,1348,0742,0869,4
66663,162602,121533,162602,121533,338694,250604,0732,0671,16999065,16999065,161,1352,074,0868,4
62800,158629,120879,158629,120879,329472,242689,0008,0632,16014000,16014000,162,1358,0737,0818,4
64848,162142,122013,162142,122013,334981,246483,0026,0652,16536240,16536240,163,1359,0736,0844,4
66437,161671,120211,161671,120211,339004,249526,179873,0668,16941435,16941435,164,1359,0736,0865,4
64520,164061,120443,164061,120443,333732,246154,0125,0649,16452600,16452600,165,1356,0738,084,4
67728,161762,120291,161762,120291,342759,251588,0058,0681,17270640,17270640,166,1362,0734,0882,4
63242,158978,121193,158978,121193,331469,242925,0148,0636,16126710,16126710,167,1364,0733,0823,4
63992,16191,120348,16191,120348,334153,243832,0291,0644,16317960,16317960,168,137,073,0833,4
66163,161458,120894,161458,120894,338695,248723,0213,0666,16871565,16871565,169,1362,0734,0861,4
66190,161715,120543,161715,120543,338755,24878,01,0666,16878450,16878450,170,1362,0734,0862,4
64572,162046,120776,162046,120776,335533,24503,179975,065,16465860,16465860,171,1369,073,0841,4
68064,15928,120257,15928,120257,342522,253011,0086,0685,17356320,17356320,172,1354,0739,0886,4
63788,15948,120672,15948,120672,33296,243926,179592,0642,16265940,16265940,173,1365,0733,0831,4
66293,16168,120548,16168,120548,339106,24891,179974,0667,16904715,16904715,174,1362,0734,0863,4
66570,159239,120645,159239,120645,340123,249203,179567,0664,16975350,16975350,175,1365,0733,0867,4
65358,161315,120742,161315,120742,336349,247411,0161,0657,16666290,16666290,176,1359,0736,0851,4
65236,162122,120364,162122,120364,33673,24667,0054,0656,16635180,16635180,177,1365,0733,0849,4
64902,162582,121136,162582,121136,336764,245382,179983,0653,16550010,16550010,178,1372,0729,0845,4
64295,163863,120881,163863,120881,332984,245847,0906,0647,16395225,16395225,179,1354,0738,0837,4
65132,161428,120231,161428,120231,336863,246179,0007,0655,16608660,16608660,180,1368,0731,0848,4
65635,162481,121132,162481,121132,336842,248096,0266,066,16736925,16736925,181,1358,0737,0855,4
63377,165324,120537,165324,120537,330155,244412,0096,0638,16161135,16161135,182,1351,074,0825,4
65249,164167,120445,164167,120445,336049,247219,0141,0656,16638495,16638495,183,1359,0736,085,4
66024,160673,120875,160673,120875,338304,248488,0306,0664,16836120,16836120,184,1361,0735,086,4
65699,160597,120903,160597,120903,338408,247189,179921,0661,16753245,16753245,185,1369,073,0855,4
65314,157715,120044,157715,120044,336326,247262,0295,0657,16655070,16655070,186,136,0735,085,4
67327,15935,119959,15935,119959,341407,251089,179865,0677,17168385,17168385,187,136,0735,0877,4
64288,159773,120828,159773,120828,33397,245094,0164,0649,16393440,16393440,188,1363,0734,0837,4
65882,157961,120162,157961,120162,337431,248595,179887,0663,16799910,16799910,189,1357,0737,0858,4
64898,162005,123205,162005,123205,33572,24613,0461,0653,16548990,16548990,190,1364,0733,0845,4
64550,162517,121005,162517,121005,334762,24551,0838,0649,16460250,16460250,191,1364,0733,084,4
68324,161932,121747,161932,121747,341937,254412,0443,0687,17422620,17422620,192,1344,0744,089,4
65748,160708,12292,160708,12292,337535,248013,179977,0663,16765740,16765740,193,1361,0735,0856,4
64414,162556,121157,162556,121157,334523,245168,087,0648,16425570,16425570,194,1364,0733,0839,4
74213,159647,1202,159647,1202,354331,266674,179984,0747,18924315,18924315,195,1329,0753,0966,5
73113,159726,119375,159726,119375,351798,264613,17998,0736,18643815,18643815,196,1329,0752,0952,5
74295,15907,120494,15907,120494,354459,266873,179632,0747,18945225,18945225,197,1328,0753,0967,5
73849,159651,12047,159651,12047,353603,265913,179979,0743,18831495,18831495,198,133,0752,0962,5
74955,159511,120051,159511,120051,356229,267905,1799,0754,19113525,19113525,199,133,0752,0976,5
74898,159643,119984,159643,119984,356192,267729,179992,0753,19098990,19098990,200,133,0752,0975,5
74330,159653,120297,159653,120297,354904,266664,179839,0748,18954150,18954150,201,1331,0751,0968,5
75117,15966,120233,15966,120233,356833,26803,179879,0756,19154835,19154835,202,1331,0751,0978,5
73643,159322,120949,159322,120949,35346,265278,179641,0741,18778965,18778965,203,1332,0751,0959,5
75625,159645,120102,159645,120102,357976,268981,17992,0761,19284375,19284375,204,1331,0751,0985,5
74267,159017,120569,159017,120569,354479,266757,179717,0747,18938085,18938085,205,1329,0753,0967,5
75133,159723,11997,159723,11997,356835,268085,179956,0756,19158915,19158915,206,1331,0751,0978,5
75536,159785,120226,159785,120226,357932,268697,179993,076,19261680,19261680,207,1332,0751,0984,5
75465,159663,120161,159663,120161,357537,268742,179914,0759,19243575,19243575,208,133,0752,0983,5
75713,159855,120018,159855,120018,358029,269254,0002,0762,19306815,19306815,209,133,0752,0986,5
74454,159885,11998,159885,11998,355092,266967,0226,0749,18985770,18985770,210,133,0752,0969,5
73195,158621,12028,158621,12028,351084,265449,179932,0736,18664725,18664725,211,1323,0756,0953,5
74354,159399,12035,159399,12035,354071,267377,179728,0748,18960270,18960270,212,1324,0755,0968,5
74332,159482,120396,159482,120396,354783,266761,17986,0748,18954660,18954660,213,133,0752,0968,5
74736,160305,120258,160305,120258,355225,267878,179785,0752,19057680,19057680,214,1326,0754,0973,5
74591,159934,120208,159934,120208,355043,267495,0064,075,19020705,19020705,215,1327,0753,0971,5
75247,159661,120256,159661,120256,356565,268696,179864,0757,19187985,19187985,216,1327,0754,098,5
74171,159897,11996,159897,11996,353976,26679,0321,0746,18913605,18913605,217,1327,0754,0966,5
73511,159327,120435,159327,120435,352136,265798,179952,074,18745305,18745305,218,1325,0755,0957,5
75047,159637,120174,159637,120174,356379,268122,179826,0755,19136985,19136985,219,1329,0752,0977,5
74302,159235,120098,159235,120098,354386,266952,179908,0747,18947010,18947010,220,1328,0753,0967,5
75465,159595,119957,159595,119957,357284,268931,179986,0759,19243575,19243575,221,1329,0753,0983,5
74481,159917,120579,159917,120579,355182,266996,179984,0749,18992655,18992655,222,133,0752,097,5
74026,159535,120031,159535,120031,353213,266844,179744,0745,18876630,18876630,223,1324,0755,0964,5
74450,160512,119705,160512,119705,354669,267271,17989,0749,18984750,18984750,224,1327,0754,0969,5
73579,161924,120139,161924,120139,351981,266161,0116,074,18762645,18762645,225,1322,0756,0958,5
74700,160385,120097,160385,120097,35567,267414,179947,0751,19048500,19048500,226,133,0752,0973,5
75297,160634,119933,160634,119933,357118,268458,179968,0757,19200735,19200735,227,133,0752,098,5
75463,160626,120217,160626,120217,357524,268744,0139,0759,19243065,19243065,228,133,0752,0983,5
74795,160291,120028,160291,120028,356042,267474,0036,0752,19072725,19072725,229,1331,0751,0974,5
74837,16054,119958,16054,119958,356055,267614,0083,0753,19083435,19083435,230,133,0752,0974,5
74813,161475,120025,161475,120025,355405,268018,179945,0753,19077315,19077315,231,1326,0754,0974,5
75686,160466,120233,160466,120233,358209,269023,011,0761,19299930,19299930,232,1332,0751,0985,5
75767,160281,120182,160281,120182,358371,269189,0061,0762,19320585,19320585,233,1331,0751,0987,5
75004,160673,119968,160673,119968,356271,268049,0038,0755,19126020,19126020,234,1329,0752,0977,5
74061,161233,120708,161233,120708,353854,266487,0425,0745,18885555,18885555,235,1328,0753,0964,5
74674,160665,120381,160665,120381,355533,267424,023,0751,19041870,19041870,236,1329,0752,0972,5
74312,160995,120763,160995,120763,354729,26673,0388,0748,18949560,18949560,237,133,0752,0968,5
74488,160388,120508,160388,120508,355284,266944,0314,0749,18994440,18994440,238,1331,0751,097,5
73658,161031,120513,161031,120513,352899,265754,0265,0741,18782790,18782790,239,1328,0753,0959,5
75018,160629,12022,160629,12022,356484,267939,0092,0755,19129590,19129590,240,133,0752,0977,5
74769,160601,120263,160601,120263,355601,267712,0136,0752,19066095,19066095,241,1328,0753,0974,5
73796,160469,119866,160469,119866,353438,265846,179997,0742,18817980,18817980,242,1329,0752,0961,5
72971,161993,120426,161993,120426,350721,26491,0243,0734,18607605,18607605,243,1324,0755,095,5
73992,16047,120503,16047,120503,354122,266037,014,0744,18867960,18867960,244,1331,0751,0963,5
74130,160339,120334,160339,120334,354383,266337,0042,0746,18903150,18903150,245,1331,0752,0965,5
75684,160198,12019,160198,12019,357973,269193,179965,0761,19299420,19299420,246,133,0752,0985,5
75673,160299,119952,160299,119952,358129,269036,0077,0761,19296615,19296615,247,1331,0751,0985,5
74475,161174,120212,161174,120212,354687,267347,014,0749,18991125,18991125,248,1327,0754,097,5
72588,160401,119989,160401,119989,350616,263598,0182,073,18509940,18509940,249,133,0752,0945,5
73771,160984,120582,160984,120582,353456,265742,0321,0742,18811605,18811605,250,133,0752,0961,5
74424,161011,120654,161011,120654,354794,267084,0217,0749,18978120,18978120,251,1328,0753,0969,5
73802,160974,120636,160974,120636,3535,26582,0477,0742,18819510,18819510,252,133,0752,0961,5
74803,160611,120614,160611,120614,355849,267648,0085,0753,19074765,19074765,253,133,0752,0974,5
75475,160668,120345,160668,120345,357404,268877,0243,0759,19246125,19246125,254,1329,0752,0983,5
74502,161215,120311,161215,120311,354823,267341,0084,0749,18998010,18998010,255,1327,0753,097,5
75203,160646,120168,160646,120168,356745,268403,0024,0757,19176765,19176765,256,1329,0752,0979,5
75658,160089,11982,160089,11982,358162,268958,179948,0761,19292790,19292790,257,1332,0751,0985,5
76316,16025,119999,16025,119999,359715,270127,0033,0768,19460580,19460580,258,1332,0751,0994,5
75815,160586,120254,160586,120254,358263,269441,0173,0763,19332825,19332825,259,133,0752,0987,5
74938,160523,120219,160523,120219,356366,267742,0113,0754,19109190,19109190,260,1331,0751,0976,5
75042,160925,120025,160925,120025,356423,26807,179981,0755,19135710,19135710,261,133,0752,0977,5
73159,160736,121226,160736,121226,351533,264979,0159,0736,18655545,18655545,262,1327,0754,0953,5
75229,160268,120326,160268,120326,356804,268451,0057,0757,19183395,19183395,263,1329,0752,098,5
75849,160164,120289,160164,120289,358509,269376,0104,0763,19341495,19341495,264,1331,0751,0988,5
75795,160016,120231,160016,120231,358048,269532,0028,0762,19327725,19327725,265,1328,0753,0987,5
75312,159432,120319,159432,120319,356574,268921,179808,0758,19204560,19204560,266,1326,0754,0981,5
74302,16017,12035,16017,12035,354086,267179,17975,0747,18947010,18947010,267,1325,0755,0967,5
69718,160037,123232,160037,123232,34675,255999,0023,0701,17778090,17778090,268,1354,0738,0908,6
69780,160442,12338,160442,12338,347374,255767,0241,0702,17793900,17793900,269,1358,0736,0909,6
68180,160214,122593,160214,122593,342429,253511,0074,0686,17385900,17385900,270,1351,074,0888,6
70558,162447,122645,162447,122645,347474,258544,1039,071,17992290,17992290,271,1344,0744,0919,6
70784,158892,122983,158892,122983,349354,257976,179489,0712,18049920,18049920,272,1354,0738,0922,6
71114,161252,123025,161252,123025,34997,258723,083,0715,18134070,18134070,273,1353,0739,0926,6
70038,161364,123253,161364,123253,347764,256425,0749,0705,17859690,17859690,274,1356,0737,0912,6
70572,161266,12304,161266,12304,34896,257494,0607,071,17995860,17995860,275,1355,0738,0919,6
71456,160566,122516,160566,122516,350816,25934,0203,0719,18221280,18221280,276,1353,0739,093,6
70332,160631,123433,160631,123433,349273,256388,0374,0708,17934660,17934660,277,1362,0734,0916,6
70058,160638,123194,160638,123194,348159,256206,0399,0705,17864790,17864790,278,1359,0736,0912,6
70486,161074,1238,161074,1238,349783,256575,0776,0709,17973930,17973930,279,1363,0734,0918,6
71735,160029,122346,160029,122346,35116,260097,179999,0722,18292425,18292425,280,135,0741,0934,6
70885,159527,122715,159527,122715,350141,257763,17998,0713,18075675,18075675,281,1358,0736,0923,6
70998,161117,122926,161117,122926,350272,258078,0575,0714,18104490,18104490,282,1357,0737,0924,6
71063,160696,123399,160696,123399,351257,25759,0377,0715,18121065,18121065,283,1364,0733,0925,6
71190,159874,122761,159874,122761,35053,258585,179821,0716,18153450,18153450,284,1356,0738,0927,6
