Area,X,Y,XM,YM,Major,Minor,Angle,Circ.,IntDen,RawIntDen,Slice,AR,Round,Solidity,especie
66552,159.783,121.076,159.783,121.076,338.019,250.686,5.376,0.67,16970760,16970760,107,1.348,0.742,0.867,2
70068,160.982,120.218,160.982,120.218,344.53,258.942,2.644,0.705,17867340,17867340,108,1.331,0.752,0.912,2
69710,161.341,121.211,161.341,121.211,344.107,257.935,2.288,0.701,17776050,17776050,109,1.334,0.75,0.908,2
67029,159.24,120.179,159.24,120.179,338.059,252.453,5.207,0.674,17092395,17092395,110,1.339,0.747,0.873,2
67615,159.8,120.133,159.8,120.133,339.76,253.385,4.534,0.68,17241825,17241825,111,1.341,0.746,0.88,2
66617,160.041,120.673,160.041,120.673,337.545,251.283,5.401,0.67,16987335,16987335,112,1.343,0.744,0.867,2
67339,160.02,119.713,160.02,119.713,339.093,252.847,4.565,0.677,17171445,17171445,113,1.341,0.746,0.877,2
66464,158.28,121.746,158.28,121.746,337.363,250.841,5.241,0.669,16948320,16948320,114,1.345,0.744,0.865,2
67348,157.682,120.808,157.682,120.808,339.979,252.222,5.055,0.678,17173740,17173740,115,1.348,0.742,0.877,2
68778,160.123,120.303,160.123,120.303,342.1,255.981,4.399,0.692,17538390,17538390,116,1.336,0.748,0.896,2
67286,158.961,119.999,158.961,119.999,338.791,252.873,5.253,0.677,17157930,17157930,117,1.34,0.746,0.876,2
67704,159.242,121.567,159.242,121.567,338.97,254.31,4.207,0.681,17264520,17264520,118,1.333,0.75,0.882,2
70300,161.579,121.39,161.579,121.39,345.679,258.936,3.94,0.707,17926500,17926500,119,1.335,0.749,0.915,2
68432,158.184,119.322,158.184,119.322,340.492,255.896,4.002,0.688,17450160,17450160,120,1.331,0.752,0.891,2
70414,160.923,121.816,160.923,121.816,346.157,258.998,2.807,0.708,17955570,17955570,121,1.337,0.748,0.917,2
70267,159.666,121.333,159.666,121.333,343.45,260.494,0.678,0.707,17918085,17918085,122,1.318,0.758,0.915,2
63828,159.598,120.026,159.598,120.026,332.704,244.266,179.722,0.642,16276140,16276140,123,1.362,0.734,0.831,4
64347,161.525,120.451,161.525,120.451,334.54,244.901,0.108,0.634,16408485,16408485,124,1.366,0.732,0.838,4
65512,159.995,119.803,159.995,119.803,337.347,247.26,0.038,0.659,16705560,16705560,125,1.364,0.733,0.853,4
64352,160.082,119.851,160.082,119.851,333.043,246.021,179.768,0.647,16409760,16409760,126,1.354,0.739,0.838,4
65638,159.601,120.404,159.601,120.404,337.606,247.545,0.256,0.66,16737690,16737690,127,1.364,0.733,0.855,4
65396,159.328,119.897,159.328,119.897,336.523,247.427,0.443,0.658,16675980,16675980,128,1.36,0.735,0.852,4
64656,159.323,120.229,159.323,120.229,334.477,246.123,179.747,0.65,16487280,16487280,129,1.359,0.736,0.842,4
65736,159.545,120.767,159.545,120.767,337.54,247.964,0.126,0.661,16762680,16762680,130,1.361,0.735,0.856,4
63588,160.843,120.817,160.843,120.817,332.537,243.47,0.14,0.64,16214940,16214940,131,1.366,0.732,0.828,4
66532,158.835,120.399,158.835,120.399,339.986,249.161,179.978,0.669,16965660,16965660,132,1.365,0.733,0.866,4
64142,160.838,120.721,160.838,120.721,332.097,245.917,179.693,0.645,16356210,16356210,133,1.35,0.74,0.835,4
65738,160.953,120.565,160.953,120.565,338.056,247.593,0.454,0.661,16763190,16763190,134,1.365,0.732,0.856,4
63073,158.886,119.833,158.886,119.833,329.08,244.035,0.423,0.635,16083615,16083615,135,1.348,0.742,0.821,4
66281,161.271,119.709,161.271,119.709,338.64,249.207,179.976,0.667,16901655,16901655,136,1.359,0.736,0.863,4
66334,162.491,120.825,162.491,120.825,339.305,248.918,0.515,0.667,16915170,16915170,137,1.363,0.734,0.864,4
66644,160.159,119.899,160.159,119.899,339.976,249.587,179.901,0.67,16994220,16994220,138,1.362,0.734,0.868,4
64510,162.492,121.863,162.492,121.863,334.059,245.875,0.482,0.649,16450050,16450050,139,1.359,0.736,0.84,4
63981,159.839,120.391,159.839,120.391,332.757,244.813,0.228,0.644,16315155,16315155,140,1.359,0.736,0.833,4
64961,158.503,120.408,158.503,120.408,336.772,245.599,179.222,0.654,16565055,16565055,141,1.371,0.729,0.846,4
65796,159.491,122.283,159.491,122.283,337.465,248.246,0.577,0.662,16777980,16777980,142,1.359,0.736,0.857,4
64543,159.051,120.42,159.051,120.42,333.428,246.466,179.827,0.649,16458465,16458465,143,1.353,0.739,0.84,4
65752,159.818,121.166,159.818,121.166,338.415,247.383,0.267,0.661,16766760,16766760,144,1.368,0.731,0.856,4
66432,160.559,120.001,160.559,120.001,338.919,249.57,179.838,0.668,16940160,16940160,145,1.358,0.736,0.865,4
63293,159.819,119.877,159.819,119.877,329.761,244.38,179.876,0.637,16139715,16139715,146,1.349,0.741,0.824,4
64168,160.372,121.744,160.372,121.744,333.601,244.907,0.225,0.646,16362840,16362840,147,1.362,0.734,0.836,4
65806,159.897,121.017,159.897,121.017,338.662,247.406,179.533,0.662,16780530,16780530,148,1.369,0.731,0.857,4
65503,160.694,120.482,160.694,120.482,336.882,247.567,0.267,0.659,16703265,16703265,149,1.361,0.735,0.853,4
67248,158.838,121.061,158.838,121.061,341.17,250.968,0.038,0.677,17148240,17148240,150,1.359,0.736,0.876,4
68807,160.961,120.657,160.961,120.657,344.115,254.589,0.165,0.692,17545785,17545785,151,1.352,0.74,0.896,4
65615,161.743,120.919,161.743,120.919,336.182,248.507,0.348,0.66,16731825,16731825,152,1.353,0.739,0.854,4
68728,161.422,121.081,161.422,121.081,342.897,255.199,0.19,0.691,17525640,17525640,153,1.344,0.744,0.895,4
69701,160.885,121.221,160.885,121.221,346.069,256.441,0.141,0.701,17773755,17773755,154,1.35,0.741,0.908,4
64680,161.261,121.122,161.261,121.122,335.535,245.438,0.26,0.651,16493400,16493400,155,1.367,0.731,0.842,4
64402,160.352,121.12,160.352,121.12,334.699,244.994,179.532,0.648,16422510,16422510,156,1.366,0.732,0.839,4
64917,158.3,120.897,158.3,120.897,335.724,246.199,179.754,0.653,16553835,16553835,157,1.364,0.733,0.845,4
66712,158.442,120.526,158.442,120.526,339.686,250.056,179.657,0.671,17011560,17011560,158,1.358,0.736,0.869,4
64872,157.931,120.726,157.931,120.726,333.567,247.619,179.93,0.653,16542360,16542360,159,1.347,0.742,0.845,4
66751,163.002,121.912,163.002,121.912,338.51,251.071,0.724,0.672,17021505,17021505,160,1.348,0.742,0.869,4
66663,162.602,121.533,162.602,121.533,338.694,250.604,0.732,0.671,16999065,16999065,161,1.352,0.74,0.868,4
62800,158.629,120.879,158.629,120.879,329.472,242.689,0.008,0.632,16014000,16014000,162,1.358,0.737,0.818,4
64848,162.142,122.013,162.142,122.013,334.981,246.483,0.026,0.652,16536240,16536240,163,1.359,0.736,0.844,4
66437,161.671,120.211,161.671,120.211,339.004,249.526,179.873,0.668,16941435,16941435,164,1.359,0.736,0.865,4
64520,164.061,120.443,164.061,120.443,333.732,246.154,0.125,0.649,16452600,16452600,165,1.356,0.738,0.84,4
67728,161.762,120.291,161.762,120.291,342.759,251.588,0.058,0.681,17270640,17270640,166,1.362,0.734,0.882,4
63242,158.978,121.193,158.978,121.193,331.469,242.925,0.148,0.636,16126710,16126710,167,1.364,0.733,0.823,4
63992,161.91,120.348,161.91,120.348,334.153,243.832,0.291,0.644,16317960,16317960,168,1.37,0.73,0.833,4
66163,161.458,120.894,161.458,120.894,338.695,248.723,0.213,0.666,16871565,16871565,169,1.362,0.734,0.861,4
66190,161.715,120.543,161.715,120.543,338.755,248.78,0.1,0.666,16878450,16878450,170,1.362,0.734,0.862,4
64572,162.046,120.776,162.046,120.776,335.533,245.03,179.975,0.65,16465860,16465860,171,1.369,0.73,0.841,4
68064,159.28,120.257,159.28,120.257,342.522,253.011,0.086,0.685,17356320,17356320,172,1.354,0.739,0.886,4
63788,159.48,120.672,159.48,120.672,332.96,243.926,179.592,0.642,16265940,16265940,173,1.365,0.733,0.831,4
66293,161.68,120.548,161.68,120.548,339.106,248.91,179.974,0.667,16904715,16904715,174,1.362,0.734,0.863,4
66570,159.239,120.645,159.239,120.645,340.123,249.203,179.567,0.664,16975350,16975350,175,1.365,0.733,0.867,4
65358,161.315,120.742,161.315,120.742,336.349,247.411,0.161,0.657,16666290,16666290,176,1.359,0.736,0.851,4
65236,162.122,120.364,162.122,120.364,336.73,246.67,0.054,0.656,16635180,16635180,177,1.365,0.733,0.849,4
64902,162.582,121.136,162.582,121.136,336.764,245.382,179.983,0.653,16550010,16550010,178,1.372,0.729,0.845,4
64295,163.863,120.881,163.863,120.881,332.984,245.847,0.906,0.647,16395225,16395225,179,1.354,0.738,0.837,4
65132,161.428,120.231,161.428,120.231,336.863,246.179,0.007,0.655,16608660,16608660,180,1.368,0.731,0.848,4
65635,162.481,121.132,162.481,121.132,336.842,248.096,0.266,0.66,16736925,16736925,181,1.358,0.737,0.855,4
63377,165.324,120.537,165.324,120.537,330.155,244.412,0.096,0.638,16161135,16161135,182,1.351,0.74,0.825,4
65249,164.167,120.445,164.167,120.445,336.049,247.219,0.141,0.656,16638495,16638495,183,1.359,0.736,0.85,4
66024,160.673,120.875,160.673,120.875,338.304,248.488,0.306,0.664,16836120,16836120,184,1.361,0.735,0.86,4
65699,160.597,120.903,160.597,120.903,338.408,247.189,179.921,0.661,16753245,16753245,185,1.369,0.73,0.855,4
65314,157.715,120.044,157.715,120.044,336.326,247.262,0.295,0.657,16655070,16655070,186,1.36,0.735,0.85,4
67327,159.35,119.959,159.35,119.959,341.407,251.089,179.865,0.677,17168385,17168385,187,1.36,0.735,0.877,4
64288,159.773,120.828,159.773,120.828,333.97,245.094,0.164,0.649,16393440,16393440,188,1.363,0.734,0.837,4
65882,157.961,120.162,157.961,120.162,337.431,248.595,179.887,0.663,16799910,16799910,189,1.357,0.737,0.858,4
64898,162.005,123.205,162.005,123.205,335.72,246.13,0.461,0.653,16548990,16548990,190,1.364,0.733,0.845,4
64550,162.517,121.005,162.517,121.005,334.762,245.51,0.838,0.649,16460250,16460250,191,1.364,0.733,0.84,4
68324,161.932,121.747,161.932,121.747,341.937,254.412,0.443,0.687,17422620,17422620,192,1.344,0.744,0.89,4
65748,160.708,122.92,160.708,122.92,337.535,248.013,179.977,0.663,16765740,16765740,193,1.361,0.735,0.856,4
64414,162.556,121.157,162.556,121.157,334.523,245.168,0.87,0.648,16425570,16425570,194,1.364,0.733,0.839,4
74213,159.647,120.2,159.647,120.2,354.331,266.674,179.984,0.747,18924315,18924315,195,1.329,0.753,0.966,5
73113,159.726,119.375,159.726,119.375,351.798,264.613,179.98,0.736,18643815,18643815,196,1.329,0.752,0.952,5
74295,159.07,120.494,159.07,120.494,354.459,266.873,179.632,0.747,18945225,18945225,197,1.328,0.753,0.967,5
73849,159.651,120.47,159.651,120.47,353.603,265.913,179.979,0.743,18831495,18831495,198,1.33,0.752,0.962,5
74955,159.511,120.051,159.511,120.051,356.229,267.905,179.9,0.754,19113525,19113525,199,1.33,0.752,0.976,5
74898,159.643,119.984,159.643,119.984,356.192,267.729,179.992,0.753,19098990,19098990,200,1.33,0.752,0.975,5
74330,159.653,120.297,159.653,120.297,354.904,266.664,179.839,0.748,18954150,18954150,201,1.331,0.751,0.968,5
75117,159.66,120.233,159.66,120.233,356.833,268.03,179.879,0.756,19154835,19154835,202,1.331,0.751,0.978,5
73643,159.322,120.949,159.322,120.949,353.46,265.278,179.641,0.741,18778965,18778965,203,1.332,0.751,0.959,5
75625,159.645,120.102,159.645,120.102,357.976,268.981,179.92,0.761,19284375,19284375,204,1.331,0.751,0.985,5
74267,159.017,120.569,159.017,120.569,354.479,266.757,179.717,0.747,18938085,18938085,205,1.329,0.753,0.967,5
75133,159.723,119.97,159.723,119.97,356.835,268.085,179.956,0.756,19158915,19158915,206,1.331,0.751,0.978,5
75536,159.785,120.226,159.785,120.226,357.932,268.697,179.993,0.76,19261680,19261680,207,1.332,0.751,0.984,5
75465,159.663,120.161,159.663,120.161,357.537,268.742,179.914,0.759,19243575,19243575,208,1.33,0.752,0.983,5
75713,159.855,120.018,159.855,120.018,358.029,269.254,0.002,0.762,19306815,19306815,209,1.33,0.752,0.986,5
74454,159.885,119.98,159.885,119.98,355.092,266.967,0.226,0.749,18985770,18985770,210,1.33,0.752,0.969,5
73195,158.621,120.28,158.621,120.28,351.084,265.449,179.932,0.736,18664725,18664725,211,1.323,0.756,0.953,5
74354,159.399,120.35,159.399,120.35,354.071,267.377,179.728,0.748,18960270,18960270,212,1.324,0.755,0.968,5
74332,159.482,120.396,159.482,120.396,354.783,266.761,179.86,0.748,18954660,18954660,213,1.33,0.752,0.968,5
74736,160.305,120.258,160.305,120.258,355.225,267.878,179.785,0.752,19057680,19057680,214,1.326,0.754,0.973,5
74591,159.934,120.208,159.934,120.208,355.043,267.495,0.064,0.75,19020705,19020705,215,1.327,0.753,0.971,5
75247,159.661,120.256,159.661,120.256,356.565,268.696,179.864,0.757,19187985,19187985,216,1.327,0.754,0.98,5
74171,159.897,119.96,159.897,119.96,353.976,266.79,0.321,0.746,18913605,18913605,217,1.327,0.754,0.966,5
73511,159.327,120.435,159.327,120.435,352.136,265.798,179.952,0.74,18745305,18745305,218,1.325,0.755,0.957,5
75047,159.637,120.174,159.637,120.174,356.379,268.122,179.826,0.755,19136985,19136985,219,1.329,0.752,0.977,5
74302,159.235,120.098,159.235,120.098,354.386,266.952,179.908,0.747,18947010,18947010,220,1.328,0.753,0.967,5
75465,159.595,119.957,159.595,119.957,357.284,268.931,179.986,0.759,19243575,19243575,221,1.329,0.753,0.983,5
74481,159.917,120.579,159.917,120.579,355.182,266.996,179.984,0.749,18992655,18992655,222,1.33,0.752,0.97,5
74026,159.535,120.031,159.535,120.031,353.213,266.844,179.744,0.745,18876630,18876630,223,1.324,0.755,0.964,5
74450,160.512,119.705,160.512,119.705,354.669,267.271,179.89,0.749,18984750,18984750,224,1.327,0.754,0.969,5
73579,161.924,120.139,161.924,120.139,351.981,266.161,0.116,0.74,18762645,18762645,225,1.322,0.756,0.958,5
74700,160.385,120.097,160.385,120.097,355.67,267.414,179.947,0.751,19048500,19048500,226,1.33,0.752,0.973,5
75297,160.634,119.933,160.634,119.933,357.118,268.458,179.968,0.757,19200735,19200735,227,1.33,0.752,0.98,5
75463,160.626,120.217,160.626,120.217,357.524,268.744,0.139,0.759,19243065,19243065,228,1.33,0.752,0.983,5
74795,160.291,120.028,160.291,120.028,356.042,267.474,0.036,0.752,19072725,19072725,229,1.331,0.751,0.974,5
74837,160.54,119.958,160.54,119.958,356.055,267.614,0.083,0.753,19083435,19083435,230,1.33,0.752,0.974,5
74813,161.475,120.025,161.475,120.025,355.405,268.018,179.945,0.753,19077315,19077315,231,1.326,0.754,0.974,5
75686,160.466,120.233,160.466,120.233,358.209,269.023,0.11,0.761,19299930,19299930,232,1.332,0.751,0.985,5
75767,160.281,120.182,160.281,120.182,358.371,269.189,0.061,0.762,19320585,19320585,233,1.331,0.751,0.987,5
75004,160.673,119.968,160.673,119.968,356.271,268.049,0.038,0.755,19126020,19126020,234,1.329,0.752,0.977,5
74061,161.233,120.708,161.233,120.708,353.854,266.487,0.425,0.745,18885555,18885555,235,1.328,0.753,0.964,5
